,Tamb,Qirr,PelecA,PelecB
2022-11-12 12:45:00,28.375,648.75,698.8897000673637,3277.9869781432635
2022-11-12 13:00:00,28.5,646.0,561.3913890299027,1863.0452067828633
2022-11-12 13:15:00,28.425,606.25,484.7716667307115,541.6652729631822
2022-11-12 13:30:00,28.35,566.5,571.8395825953235,309.0051223571425
2022-11-12 13:45:00,28.275,526.75,563.3825882394456,283.4390211983838
2022-11-12 14:00:00,28.2,487.0,492.63278808758207,317.87122093015614
2022-11-12 14:15:00,28.15,439.25,537.2586650240701,218.94695153053783
2022-11-12 14:30:00,28.1,391.5,641.7122861774498,252.0891973000655
2022-11-12 14:45:00,28.05,343.75,577.1346225858142,218.61264558133414
2022-11-12 15:00:00,28.0,296.0,445.4456864017746,498.63929715989434
2022-11-12 15:15:00,27.75,252.0,2779.253159294903,1253.4258605905122
2022-11-12 15:30:00,27.5,208.0,3437.4179178488107,1658.4460007575697
2022-11-12 15:45:00,27.25,164.0,3026.069868966039,2314.4294002033253
2022-11-12 16:00:00,27.0,120.0,2842.1310682821354,1344.6576218536043
2022-11-12 16:15:00,26.875,103.75,2882.864284792393,949.3647127725307
2022-11-12 16:30:00,26.75,87.5,2557.3397969812677,1072.205637537816
2022-11-12 16:45:00,26.625,71.25,2392.380292162926,1192.3953506446367
2022-11-12 17:00:00,26.5,55.0,287.1854409499138,1137.132876189229
2022-11-12 17:15:00,26.375,42.75,462.0325773999215,397.1473206499129
2022-11-12 17:30:00,26.25,30.5,1985.016920175548,216.7980342749705
2022-11-12 17:45:00,26.125,18.25,1513.7902853423761,195.78885878228866
2022-11-12 18:00:00,26.0,6.0,686.4605706587009,249.72512569873794
2022-11-12 18:15:00,25.9,4.5,1338.463326050321,261.78158895233713
2022-11-12 18:30:00,25.8,3.0,3218.8640116574506,274.1770596460611
2022-11-12 18:45:00,25.700000000000003,1.5,1737.702581661583,902.2565636748537
2022-11-12 19:00:00,25.6,0.0,1361.4075549203308,1198.082549316616
2022-11-12 19:15:00,25.575000000000003,0.0,449.2708289153456,1751.8131559154813
2022-11-12 19:30:00,25.55,0.0,454.2321148502751,1322.5223830811613
2022-11-12 19:45:00,25.525,0.0,419.8155435314581,1538.223174027572
2022-11-12 20:00:00,25.5,0.0,478.3286811017644,369.692951528544
2022-11-12 20:15:00,25.5,0.0,339.1712224263233,311.49456327024603
2022-11-12 20:30:00,25.5,0.0,387.83341212863826,278.33441838675185
2022-11-12 20:45:00,25.5,0.0,329.5608201476952,320.5877972109043
2022-11-12 21:00:00,25.5,0.0,331.05782483666684,747.7735872951737
2022-11-12 21:15:00,25.475,0.0,267.3157788154486,2391.2179729734926
2022-11-12 21:30:00,25.45,0.0,128.84986226974127,2043.9529515419647
2022-11-12 21:45:00,25.424999999999997,0.0,129.76732790413422,2124.9557025027234
2022-11-12 22:00:00,25.4,0.0,103.20403995473639,1318.8301973947478
2022-11-12 22:15:00,25.349999999999998,0.0,90.69623892046913,189.33049790297696
2022-11-12 22:30:00,25.299999999999997,0.0,53.822409127782876,203.99063898812503
2022-11-12 22:45:00,25.25,0.0,54.321325387229805,204.483342443708
2022-11-12 23:00:00,25.2,0.0,78.62960799318728,187.79225980950415
2022-11-12 23:15:00,25.15,0.0,59.549973375976144,187.60031902752658
2022-11-12 23:30:00,25.1,0.0,53.81820607554387,219.70481758546512
2022-11-12 23:45:00,25.05,0.0,53.984145517943716,185.3095844404188
2022-11-13 00:00:00,25.0,0.0,90.68567657283207,187.84033015318298
2022-11-13 00:15:00,25.0,0.0,53.852061767821,50.613161888373476
2022-11-13 00:30:00,25.0,0.0,53.41601566930463,71.00545306457049
2022-11-13 00:45:00,25.0,0.0,73.58943878284683,32.962919420921835
2022-11-13 01:00:00,25.0,0.0,65.0701555355958,33.45535674275565
2022-11-13 01:15:00,24.925,0.0,53.64762061937464,33.43439643324849
2022-11-13 01:30:00,24.85,0.0,52.908440469305305,70.72111117370834
2022-11-13 01:45:00,24.775,0.0,91.8827411501806,33.54259829600344
2022-11-13 02:00:00,24.7,0.0,53.16715713760096,33.15353482113092
2022-11-13 02:15:00,24.6,0.0,54.11457794519289,32.9551623072227
2022-11-13 02:30:00,24.5,0.0,53.139134821480695,65.87582237781949
2022-11-13 02:45:00,24.4,0.0,91.90551278352432,33.64664036853718
2022-11-13 03:00:00,24.3,0.0,53.37314015339014,33.20771166707601
2022-11-13 03:15:00,24.225,0.0,53.82720612601948,53.99663785745828
2022-11-13 03:30:00,24.15,0.0,170.21962828612493,50.34715108740568
2022-11-13 03:45:00,24.075,0.0,315.039303510468,33.78689185778093
2022-11-13 04:00:00,24.0,0.0,322.1918560321023,33.16618995779647
2022-11-13 04:15:00,24.0,0.0,290.1378027689672,49.53754746364957
2022-11-13 04:30:00,24.0,0.0,215.05481783044476,59.94583185821919
2022-11-13 04:45:00,24.0,0.0,153.73391334431398,33.04499602925565
2022-11-13 05:00:00,24.0,0.0,123.45403209130903,33.227820401547085
2022-11-13 05:15:00,24.0,0.25,123.97532770871786,33.36008741631956
2022-11-13 05:30:00,24.0,0.5,96.14956178847022,70.7446920650033
2022-11-13 05:45:00,24.0,0.75,111.03653703958025,33.512444702216804
2022-11-13 06:00:00,24.0,1.0,206.92975586677534,34.5887025766068
2022-11-13 06:15:00,24.15,13.5,2251.7957569202586,36.157297003751935
2022-11-13 06:30:00,24.3,26.0,1898.8630854083654,74.35551848789439
2022-11-13 06:45:00,24.450000000000003,38.5,669.6808432533387,149.65722831960161
2022-11-13 07:00:00,24.6,51.0,1026.8594714429921,1469.7331016547985
2022-11-13 07:15:00,24.975,90.75,2426.721489713521,987.0947741471529
2022-11-13 07:30:00,25.35,130.5,2519.10553430724,311.95098455187673
2022-11-13 07:45:00,25.725,170.25,688.8223932260265,1510.3024129407036
2022-11-13 08:00:00,26.1,210.0,462.99427056044914,1075.9123190997782
2022-11-13 08:15:00,26.475,251.75,1974.9523439368675,802.0829231186582
2022-11-13 08:30:00,26.85,293.5,1330.635690696466,629.3067609298067
2022-11-13 08:45:00,27.225,335.25,1509.5984141950964,1137.3655227693857
2022-11-13 09:00:00,27.6,377.0,544.5593937047262,716.6474061637359
2022-11-13 09:15:00,27.975,411.75,792.3323528688751,215.7894275719486
2022-11-13 09:30:00,28.35,446.5,2024.134914313828,238.9605695163577
2022-11-13 09:45:00,28.725,481.25,3976.5693090597747,685.3969642834054
2022-11-13 10:00:00,29.1,516.0,4483.354135491103,604.7409841705835
2022-11-13 10:15:00,29.325000000000003,540.0,3427.832484597297,707.2304783419078
2022-11-13 10:30:00,29.55,564.0,3229.2863402428784,369.58396246013854
2022-11-13 10:45:00,29.775,588.0,4547.431698590851,330.81941547532114
2022-11-13 11:00:00,30.0,612.0,3103.4002445489095,333.6640633149444
2022-11-13 11:15:00,30.25,623.25,3369.771818333136,370.8954111267377
2022-11-13 11:30:00,30.5,634.5,2682.3456020499666,342.51220157600903
2022-11-13 11:45:00,30.75,645.75,1023.7699379982707,304.3000152442106
2022-11-13 12:00:00,31.0,657.0,480.47881770144573,301.5840592256137
2022-11-13 12:15:00,31.125,654.5,440.44389003945906,324.8632549544658
2022-11-13 12:30:00,31.25,652.0,565.7322538978348,646.601507448544
2022-11-13 12:45:00,31.375,649.5,565.5176908818618,2814.2216028692624
2022-11-13 13:00:00,31.5,647.0,704.0630230558415,2809.8045586280805
2022-11-13 13:15:00,31.45,631.0,1469.8773005991136,718.439019594681
2022-11-13 13:30:00,31.4,615.0,3540.508963541003,289.1853352747249
2022-11-13 13:45:00,31.35,599.0,3459.512104827736,511.3126268607178
2022-11-13 14:00:00,31.3,583.0,1191.4323938282869,878.3583113097976
2022-11-13 14:15:00,31.275,554.5,630.3443096570379,372.18597180219507
2022-11-13 14:30:00,31.25,526.0,500.68464004457394,976.0292956123811
2022-11-13 14:45:00,31.225,497.5,470.589575984895,321.2491298224926
2022-11-13 15:00:00,31.2,469.0,388.4777341779592,335.8668092030535
2022-11-13 15:15:00,31.15,430.75,311.6363681441556,1097.6857568375335
2022-11-13 15:30:00,31.1,392.5,290.66946151083647,692.1409688143939
2022-11-13 15:45:00,31.05,354.25,268.6603802869848,295.99854844686337
2022-11-13 16:00:00,31.0,316.0,371.0377058092858,250.79806303478503
2022-11-13 16:15:00,30.75,273.25,465.2022760217532,251.30059971411427
2022-11-13 16:30:00,30.5,230.5,2437.6669987035625,252.86032106525235
2022-11-13 16:45:00,30.25,187.75,707.7776559455125,283.7447896796067
2022-11-13 17:00:00,30.0,145.0,749.2880853726434,114.2639870797722
2022-11-13 17:15:00,29.75,112.5,556.7785420461258,105.65351815073953
2022-11-13 17:30:00,29.5,80.0,524.3265130188131,272.1539076658663
2022-11-13 17:45:00,29.25,47.5,515.7957351932043,566.2703194408401
2022-11-13 18:00:00,29.0,15.0,472.6589809172644,208.40179045333264
2022-11-13 18:15:00,28.75,11.25,1353.131600522752,214.06607173041084
2022-11-13 18:30:00,28.5,7.5,1348.6102919226246,212.83135260677838
2022-11-13 18:45:00,28.25,3.75,1340.7173666252356,304.6703871755372
2022-11-13 19:00:00,28.0,0.0,1208.805649272548,282.3174943204834
2022-11-13 19:15:00,27.75,0.0,461.69608432819047,287.9472964683593
2022-11-13 19:30:00,27.5,0.0,531.8312956689106,514.6953770356304
2022-11-13 19:45:00,27.25,0.0,379.7203417434487,1385.3501632205694
2022-11-13 20:00:00,27.0,0.0,250.76269065669266,1772.0182981135288
2022-11-13 20:15:00,27.0,0.0,170.72267744573924,1383.7423700372817
2022-11-13 20:30:00,27.0,0.0,113.29412144012967,1519.66307732966
2022-11-13 20:45:00,27.0,0.0,137.60578126564852,666.9658582737696
2022-11-13 21:00:00,27.0,0.0,170.61029772226345,267.8608782913889
2022-11-13 21:15:00,27.0,0.0,439.0678162816559,269.92110683314087
2022-11-13 21:30:00,27.0,0.0,364.4481098106029,270.5683284400183
2022-11-13 21:45:00,27.0,0.0,370.061870344269,308.096219754593
2022-11-13 22:00:00,27.0,0.0,344.766324907894,262.974759235078
2022-11-13 22:15:00,26.875,0.0,283.7656102470132,115.42733794750812
2022-11-13 22:30:00,26.75,0.0,126.30532453596155,34.10092055582989
2022-11-13 22:45:00,26.625,0.0,60.54950410546585,66.12493729444546
2022-11-13 23:00:00,26.5,0.0,54.29638387770731,33.57615158409394
2022-11-13 23:15:00,26.4,0.0,54.17823911205934,34.06751709417903
2022-11-13 23:30:00,26.3,0.0,89.75106459294027,33.37253401161893
2022-11-13 23:45:00,26.200000000000003,0.0,54.79649839712938,69.48838910667524
2022-11-14 00:00:00,26.1,0.0,54.323139374256776,36.252261352108434
2022-11-14 00:15:00,25.975,0.0,53.17091735193261,34.12878084725796
2022-11-14 00:30:00,25.85,0.0,64.7104842061671,32.69686717309605
2022-11-14 00:45:00,25.725,0.0,80.46700001119896,48.83356931975563
2022-11-14 01:00:00,25.6,0.0,53.03323745238879,55.45779369586815
2022-11-14 01:15:00,25.700000000000003,0.0,53.41368604920947,33.3270420740769
2022-11-14 01:30:00,25.8,0.0,52.98995180936219,33.65792865725987
2022-11-14 01:45:00,25.9,0.0,96.0300898474496,54.41638421940928
2022-11-14 02:00:00,26.0,0.0,53.519983826431634,49.9138817672032
2022-11-14 02:15:00,25.925,0.0,54.32845934135349,33.50722329096073
2022-11-14 02:30:00,25.85,0.0,52.71600175341431,33.65600841602692
2022-11-14 02:45:00,25.775,0.0,90.84446440270044,60.27253472280934
2022-11-14 03:00:00,25.7,0.0,55.364047940364934,33.66787035949201
2022-11-14 03:15:00,25.625,0.0,53.94817307475174,33.15506310350693
2022-11-14 03:30:00,25.549999999999997,0.0,52.87076834839673,32.880126442885974
2022-11-14 03:45:00,25.474999999999998,0.0,95.7532581156491,72.84740560731443
2022-11-14 04:00:00,25.4,0.0,54.14471794280074,33.566100262025294
2022-11-14 04:15:00,25.474999999999998,0.0,54.07141703557197,34.319092741172085
2022-11-14 04:30:00,25.549999999999997,0.0,236.59099322938235,36.61638111049966
